	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000040860.16|Crocc	2.90036074631566	3.12350850127264	3.40421514306972	3.2623622118225
ENSMUSG00000040865.15|Ino80d	6.25325949691708	6.33140012999212	6.35079805373472	6.21818038801371
ENSMUSG00000040875.12|Osbpl10	2.49989129338534	2.38181600826663	1.17642986699273	0.628827247113733
ENSMUSG00000040877.16|Wdr25	2.88247375662019	2.73230399365836	2.25598728326323	2.45067218662012
ENSMUSG00000040883.17|Tmem205	3.94594685357629	3.87263444798055	4.48415091677116	4.70825162419268
ENSMUSG00000040888.10|Gfer	5.67695010217636	5.57108539617821	4.99644123061824	5.07391083163802
ENSMUSG00000040891.6|Foxa3	2.09331155275573	1.80931609796783	1.63346011170138	1.14436856100639
ENSMUSG00000040904.10|Gm21988	3.16720344628919	3.4450044364807	3.09509774127546	3.20417877861312
ENSMUSG00000040907.15|Atp1a3	0.531397613841638	0.738204327750092	1.54167133062874	1.72775794025053
ENSMUSG00000040913.11|Fbxw4	4.09965392984966	3.96772293243397	4.0333337795275	4.25607656710746
ENSMUSG00000040918.12|Slc19a2	4.58383029451357	4.66226813621644	4.37737603401271	4.21863134067625
ENSMUSG00000040928.15|S100pbp	5.53436167319525	5.5167018496451	5.46356730923108	5.43628415097684
ENSMUSG00000040929.17|Rfx3	3.6088200946351	3.64308782016393	3.98539507668459	3.86360849821831
ENSMUSG00000040936.15|Ulk4	0.207580380521417	0.4286497655998	1.56165971600557	1.45879038327065
ENSMUSG00000040938.16|Slc16a11	4.01134818443279	3.93374620185273	2.84458620357931	3.10194602209159
ENSMUSG00000040940.18|Arhgef1	5.89231947573151	5.82981698081681	6.56785627269866	6.58948402512672
ENSMUSG00000040943.12|Tet2	5.24355473550032	5.39376296286234	5.80814502245738	5.89810754036845
ENSMUSG00000040945.13|Rcc2	8.45245460790728	8.27526201954641	7.71718582765553	7.69297749430277
ENSMUSG00000040952.16|Rps19	8.81485935750882	8.66995717637688	8.90465700564414	9.08344140890058
ENSMUSG00000040964.16|Arhgef10l	5.48474288529115	5.36330219862985	5.75052596474326	5.72459923263215
ENSMUSG00000040987.15|Mill2	0.590421508514363	0.00152067535777277	1.14436856100639	1.4860803652136
ENSMUSG00000040990.17|Sh3kbp1	5.97590712596225	6.10338118033579	6.59910210691492	6.57660424435272
ENSMUSG00000040997.13|Abhd4	5.61280120793061	5.44969574652801	6.50495892225014	6.52432360039269
ENSMUSG00000040998.18|Npnt	8.51705764778582	8.51705764778582	8.6263160465114	8.5234642015682
ENSMUSG00000041012.4|Cmtm8	2.70507146681398	2.68814218244972	1.98217593118688	2.07771103335091
ENSMUSG00000041025.15|Iffo2	5.9933895150734	5.98145469265233	5.7935753049376	5.68222706376698
ENSMUSG00000041028.16|Ghitm	9.47911614899401	9.45891337537897	7.84952701115694	7.84952701115694
