	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B	SH1_4mM_A	SH1_4mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B	SH2_4mM_A	SH2_4mM_B
ENSMUSG00000056531.11|Ccdc18	3.94062112456888	4.03347899836484	3.93729988195851	3.96721474777502	3.9524864188693	3.87581232392625	3.37500342985423	3.18208138888965	3.83103644393032	3.75292671142468	3.37521584100588	3.28234239057278
ENSMUSG00000056536.14|Pign	7.12691956321553	7.1746094037408	7.13337671664843	7.11534115170898	6.26971042057763	6.17112933688915	6.34316305683225	6.39655889231546	6.79602916140975	6.79105297007704	6.72756441156176	6.83161272963518
ENSMUSG00000056537.11|Rlim	7.4691021273699	7.51992996617167	7.55513165799068	7.5056704234206	7.06777718875527	7.10887612029512	7.15191494088513	7.06016597746643	7.66680088670967	7.55513165799068	7.85945494370812	7.78850766316914
ENSMUSG00000056579.18|Tug1	6.93138795269969	6.96594443332956	6.87458663457783	6.89007700701406	7.20809543964676	7.19590349491913	7.39558995232237	7.36226540165894	7.04972020615364	7.00137839883912	7.00058290736437	7.0580777578193
ENSMUSG00000056592.14|Zfp658	1.86408590589185	1.6676314718255	1.64157755607866	1.57549846070923	2.24952253893038	2.04469436812758	2.33504953768515	2.17383862380989	1.82371886494514	1.84854399545507	1.68397473336528	1.06859223716032
ENSMUSG00000056598.16|Drc3	0.574386086403158	0.622706390020795	0.882102523860626	0.611809990542313	1.02016027898857	1.27093805886636	1.13283665726556	1.13827460282988	1.44986888527536	1.18201401006309	1.51573419220425	1.18634521427848
ENSMUSG00000056608.14|Chd9	5.54332774230515	5.47786355996143	5.97914438918141	5.88647700145292	5.89115456994893	5.92206330629094	5.87856562961094	5.9524343502115	6.02410598175552	5.925206209213	6.015115316908	6.0968838631559
ENSMUSG00000056612.7|Ppp1r14b	6.85534900849476	6.81919628103244	6.78976984139849	6.78845668794207	6.39913376057781	6.54328315764403	6.28806558180217	6.29826755546344	6.78444923122193	6.73962756927006	6.7991485148711	6.78076876474222
ENSMUSG00000056629.16|Fkbp2	4.79851452345388	4.64279378457951	5.0680420758014	5.18106130063019	5.54058009393475	5.59567022963659	5.56083174635556	5.56312378073467	5.12281536216193	5.07183688387922	5.34422447785159	5.31683562468667
ENSMUSG00000056656.6|Apol8	-0.915691798213273	-1.58524366098733	-0.408502122251316	-0.255480600733241	0.729590986987986	0.673728345183045	-0.351115738302672	0.462938936526234	-0.813971732803865	-1.03978867796688	-0.377981990428716	-0.87798570062082
